Type,Status,Date,Payee,Category/Account,Amount,Note,Memo,Number,Security,Shares,Price/Share,Commission
Withdrawal,Uncleared,05/10/2021,Earnings Received,Unity Ads (TopTrending),"US$84,945.00",Earnings received 1% tax = 878,,,,"","",""
Deposit,Uncleared,05/10/2021,Earnings Received,UnityAds (MR),"US$45,954.00",Earnings received 1% tax = 464,,,,"","",""
Deposit,Uncleared,27/09/2021,Earnings Received,Admob (Games Rumble),"US$91,985.00",Earnings received - (1% tax = 929),,,,"","",""
Withdrawal,Uncleared,27/09/2021,WHT,Taxes,-Rs 69,,,,,"","",""
Withdrawal,Uncleared,27/09/2021,Earnings Received,Playstore (GamesRumble),"US$6,995.00",,,,,"","",""
Withdrawal,Uncleared,03/09/2021,Earnings Received,Unity Ads (TopTrending),"US$57,021.00",Earnings received 1% tax = 575,,,,"","",""
Deposit,Uncleared,03/09/2021,Earnings Received,UnityAds (MR),"US$36,012.00",Earnings received 1% tax = 363,,,,"","",""
Withdrawal,Uncleared,25/08/2021,Earnings Received,Admob (Games Rumble),"US$418,542.00",Earning received - (1% tax = 4227),,,,"","",""
Withdrawal,Uncleared,25/08/2021,WHT,Taxes,-Rs 244,,,,,"","",""
Withdrawal,Uncleared,25/08/2021,Earnings Received,Playstore (GamesRumble),"US$24,410.00",,,,,"","",""
Withdrawal,Uncleared,10/08/2021,Bank Charges,Bank Charges,"-Rs 1,900",,,,,"","",""
Withdrawal,Uncleared,05/08/2021,Account Opening,[EXPENSE] MUNEEB MR,"Rs 30,000",30K Transferred for account opening Faysal Bank Valencia,,,,"","",""
Deposit,Uncleared,04/08/2021,STARTING BALANCE,,Rs 0,BALANCE ADJUSTMENT,,,,"","",""
